1776401376.0783982,Not Paying Attention,177
1776401376.1734943,Not Paying Attention,179
1776401376.2462935,Not Paying Attention,181
1776401376.3815553,Not Paying Attention,183
1776401376.4765303,Not Paying Attention,185
1776401376.5765305,Not Paying Attention,187
1776401376.6865208,Not Paying Attention,189
1776401376.781551,Not Paying Attention,191
1776401376.8785532,Not Paying Attention,193
1776401376.9754157,Not Paying Attention,195
1776401377.087244,Not Paying Attention,197
1776401377.1845484,Not Paying Attention,199
1776401377.2794037,Not Paying Attention,201
1776401377.3561997,Not Paying Attention,203
1776401377.4895494,Not Paying Attention,205
1776401377.5893195,Not Paying Attention,207
1776401377.6515973,Not Paying Attention,209
1776401377.7863817,Not Paying Attention,211
1776401377.8754256,Not Paying Attention,213
1776401377.981715,Not Paying Attention,215
1776401378.079445,Not Paying Attention,217
1776401378.17755,Not Paying Attention,219
1776401378.2818007,Not Paying Attention,221
1776401378.392456,Not Paying Attention,223
1776401378.4622653,Not Paying Attention,225
1776401378.546591,Not Paying Attention,227
1776401378.6865597,Not Paying Attention,229
1776401378.7825158,Not Paying Attention,231
1776401378.8780196,Not Paying Attention,233
1776401378.9913316,Not Paying Attention,235
1776401379.0845196,Not Paying Attention,237
1776401379.1835084,Not Paying Attention,239
1776401379.280508,Not Paying Attention,241
1776401379.4024558,Not Paying Attention,243
1776401379.4583044,Not Paying Attention,245
1776401379.5873914,Not Paying Attention,247
1776401379.6482267,Not Paying Attention,249
1776401379.772065,Not Paying Attention,251
1776401379.8607938,Not Paying Attention,253
1776401379.9595282,Not Paying Attention,255
1776401391.312526,Not Paying Attention,254
1776401391.4074612,Not Paying Attention,256
1776401391.5044754,Not Paying Attention,258
1776401391.6034636,Not Paying Attention,260
1776401391.7125337,Not Paying Attention,262
1776401391.78149,Not Paying Attention,264
1776401391.891005,Not Paying Attention,266
1776401391.9697928,Not Paying Attention,268
1776401392.0823529,Not Paying Attention,270
1776401392.1807053,Not Paying Attention,272
1776401392.3194547,Not Paying Attention,274
1776401392.3844225,Not Paying Attention,276
1776401392.4835527,Not Paying Attention,278
1776401392.6075082,Not Paying Attention,280
1776401392.7035134,Not Paying Attention,282
1776401392.8161721,Not Paying Attention,284
